,0
0,39.32461449960334
1,15.475954325937735
2,63.361224095218816
3,53.812135981259104
4,25.90422984837743
5,54.76621767690904
6,47.04772118113915
7,27.197069548809758
8,53.256536395726464
9,39.09703119621595
10,16.472039432985706
11,40.29513774380834
12,29.99704640194124
13,37.644628909483544
14,48.11594318810596
15,57.54881987081269
16,35.65206645142785
17,29.779338226292953
18,48.45639547003677
19,35.467671457150594
20,54.330752608873375
21,33.25031458085417
22,33.6439844505422
23,47.97449694436879
24,23.27600528001833
25,23.303922177866156
26,71.06064898833232
27,26.585185163559927
28,57.54881987081269
29,49.44824085384836
30,18.625878707310438
31,37.17524603376443
32,18.334334893229528
33,20.593262677499325
34,24.329144888592594
35,15.827173268287144
36,54.284319151241064
37,27.93628986043995
38,29.069759190129897
39,26.199258960111834
40,53.55310781685701
41,31.044851851734144
42,26.41944108245226
43,36.49748467501178
44,53.78751739258905
45,54.862248462893106
46,30.271594262459946
47,43.89917065855116
48,28.038760777844363
49,61.00158892169321
50,37.64870371078691
51,19.16322181516667
52,25.067591840372234
53,35.297930184289015
54,45.17165813703542
55,47.653166557857034
56,36.49596054020086
57,53.72880572480496
58,61.24740392799383
59,37.552076470116226
60,31.113233302757106
61,20.676266018594724
62,51.23264170881229
63,56.311506119451835
64,21.300124453159942
65,45.74288324180351
66,34.53845976903219
67,36.044163915522056
68,19.7863493587491
69,19.77047537560676
70,28.609098496359838
71,27.943698858984252
72,55.34414698856108
73,19.531587280784088
74,37.74003702535195
75,51.16366440571197
76,28.84443263516449
77,20.10594540913374
78,24.053409307197136
79,28.568348485954335
80,18.06618564560658
81,45.36249248330974
82,33.484094754775995
83,34.20174176693427
84,38.84096113682645
85,35.31759995849779
86,49.21785434064317
87,50.95746292919752
88,39.68806057868712
89,31.645119683073712
90,54.0546511494233
91,20.2503951131865
92,25.871848603222812
93,37.338711291265774
94,26.96298601185892
95,59.244527482180544
96,33.48561888958692
97,35.14391527152941
98,51.88527528234833
99,27.426698986872992
100,31.12931952206414
101,38.61692215303978
102,25.73620053810851
103,33.82014765513749
104,34.40262534612497
105,36.39649635892105
106,40.011379632900294
107,32.69438859271003
108,27.981965648421873
109,41.41317037679128
110,19.682849878124983
111,49.58192932598691
112,26.553609296036147
113,34.17319603771913
114,41.35309756391391
115,65.22318041935925
116,31.25478570599635
117,37.69149096699747
118,42.365553282580365
119,32.84797509213219
120,42.33648028502821
121,26.865095456367758
122,62.27156800952869
123,26.623756722265384
124,18.44296454128859
125,20.670514832923722
126,15.374211480166789
127,20.401683554025375
128,40.77406739182473
129,32.869658613521096
130,30.123555097665335
131,49.93974802374549
132,33.78102661731267
133,25.3883627912351
134,20.304660328940713
135,55.12111128007592
136,64.17537549140775
137,38.20223412100042
138,12.087052463914976
139,20.164748403792963
140,39.523698359571355
141,49.74812348041209
142,32.78152164632625
143,19.31174877625944
144,16.30833319542454
145,36.86670048619031
146,48.42749566944063
147,24.967594459910934
148,27.527819946709386
149,16.351930581846172
150,24.803581451478248
151,28.97727708151532
152,27.157787795326563
153,20.401638134165935
154,31.56424392961164
155,31.186411012637105
156,48.58207954285028
157,30.19788905950769
158,31.931354585129352
159,22.30991107843927
160,38.98382183087465
161,44.46888723292521
162,24.579622009782362
163,25.805972539775226
164,35.008608068459026
165,24.155380249054836
166,60.61833983502643
167,54.175530191136836
168,61.1932134650266
169,10.793124715267897
170,32.36386466666826
171,34.348788773527644
172,24.478420095717514
173,61.545986793730364
174,21.233382690638273
175,21.69107155631006
176,17.739461294027084
177,49.704371924331326
178,23.57542470388046
179,39.99467603684196
180,35.104421816187184
181,33.60301838167761
182,18.72790761693588
183,39.56807421070023
184,31.64881953068348
185,28.213065966057805
186,41.88756867926369
187,41.12842818773867
188,28.017469881024244
189,51.23264170881229
190,21.21155438418813
191,74.43393866800817
192,45.903151611197195
193,28.415463154056766
194,15.501287229012927
195,30.587238342412295
196,32.66612237167549
197,28.45418537939671
198,31.18873691657898
199,59.93826328195773
200,17.47657697532874
201,20.946036006203084
202,43.60978164911289
203,32.00281079779588
204,34.659832191318024
205,23.61189093684051
206,39.3250450113364
207,30.484016010330937
208,32.4649986133017
209,25.379780798663937
210,49.805907432881895
211,23.016292501897006
212,22.959462583603507
213,24.192456210828173
214,27.871065282019618
215,22.870629041603845
216,23.37457659539655
217,39.08366523676935
218,19.5249095443502
219,41.454059087709915
220,59.50034362466244
221,31.71313706121263
222,39.763261336850675
223,36.6213863571661
224,43.61842292832328
225,36.85963952319004
226,27.027553284390024
227,32.91486703768823
228,35.82990328301227
229,45.2243916041381
230,36.610088188778505
231,37.631936281142714
232,62.79973430625313
233,20.986376665980256
234,37.55909382712146
235,32.31876350495526
236,32.98749795804358
237,38.556943350854795
238,32.113324288237685
239,61.50697949485066
240,60.66947461634179
241,28.254314368686405
242,45.73344815131931
243,33.03835800679958
244,27.85493251817445
245,32.29994650532774
246,49.355308022591444
247,28.79421531297199
248,37.0349022293147
249,15.542690725382208
250,11.416575644175126
251,41.374804546854214
252,37.798624506288206
253,31.31698853866011
254,40.057222524497824
255,21.52344204744024
256,26.078112975461266
257,19.33239418192463
258,61.216934928914384
259,31.037084320456284
260,39.86925021987672
261,72.9196033452807
262,46.311196216290824
263,36.658877264656034
264,30.80825871676799
